longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,distance_proximity,median_income,median_house_value,
32.61279,0.28141,41,880,129,322,126,KANSANGA MARKET,8.3252,100000,
32.61279,0.28141,21,7099,1106,2401,1138,KANSANGA MARKET,8.3014,150000,
32.61279,0.28141,52,1467,190,496,177,KANSANGA MARKET,7.2574,200000,
32.61279,0.28141,52,1274,235,558,219,KANSANGA MARKET,5.6431,250000,
32.61279,0.28141,52,1627,280,565,259,KANSANGA MARKET,3.8462,300000,
32.61279,0.28141,52,919,213,413,193,KANSANGA MARKET,4.0368,350000,
32.61279,0.28141,52,2535,489,1094,514,KANSANGA MARKET,3.6591,400000,
32.61279,0.28141,52,3104,687,1157,647,KANSANGA MARKET,3.12,450000,
32.61279,0.28141,42,2555,665,1206,595,KANSANGA MARKET,2.0804,500000,
32.61279,0.28141,52,3549,707,1551,714,KANSANGA MARKET,3.6912,550000,
32.61279,0.28141,52,2202,434,910,402,KANSANGA MARKET,3.2031,600000, 
32.61279,0.28141,52,3503,752,1504,734,KANSANGA MARKET,3.2705,650000,
32.61279,0.28141,52,2491,474,1098,468,KANSANGA MARKET,3.075,700000,
32.61279,0.28141,52,696,191,345,174,KANSANGA MARKET,2.6736,750000,
32.61279,0.28141,52,2643,626,1212,620,KANSANGA MARKET,1.9167,800000,
32.61279,0.28141,50,1120,283,697,264,KANSANGA MARKET,2.125,850000,
32.61279,0.28141,52,1966,347,793,331,KANSANGA MARKET,2.775,900000,
32.61279,0.28141,52,1228,293,648,303,KANSANGA MARKET,2.1202,950000,
32.61279,0.28141,50,2239,455,990,419,KANSANGA MARKET,1.9911,1000000,
32.61279,0.28141,52,1503,298,690,275,KANSANGA MARKET,2.6033,1100000,
32.61279,0.28141,40,751,184,409,166,KANSANGA MARKET,1.3578,1200000,
32.61279,0.28141,42,1639,367,929,366,KANSANGA MARKET,1.7135,1300000,
32.61279,0.28141,52,2436,541,1015,478,KANSANGA MARKET,1.725,1400000,
